policy_loss,q1_loss,q2_loss,alpha_loss
4.700480366,5.105945474,4.007333185,4.317488114
4.682131227,5.087596335,3.988984047,4.304065093
4.663439094,5.068904202,3.970291914,4.290459441
4.644390899,5.049856007,3.951243719,4.276666119
4.624972813,5.030437921,3.931825633,4.262679877
4.605170186,5.010635294,3.912023005,4.248495242
4.584967479,4.990432587,3.891820298,4.234106505
4.564348191,4.9698133,3.871201011,4.219507705
4.543294782,4.94875989,3.850147602,4.204692619
4.521788577,4.927253685,3.828641396,4.189654742
4.49980967,4.905274778,3.80666249,4.17438727
4.477336814,4.882801923,3.784189634,4.158883083
4.454347296,4.859812404,3.761200116,4.143134726
4.430816799,4.836281907,3.737669618,4.127134385
4.406719247,4.812184355,3.713572067,4.110873864
